UUID,First_Name,Middle_Name,Last_Name,Name_Data_Quality,SSN,SSNDataQuality,DOB,DOBDataQuality,AmIndAKNative,Asian,Black,NativeHIOtherPacific,White,RaceNone,Gender,OtherGender,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,Discharge_Status,,Date_Created,DateUpdated,UserID
90077,Robert,J,Hanks,1,100090077,1,1/1/1953,1,0,0,1,0,0,0,1,0,1,1971,1973,0,0,0,0,0,0,0,0,4,2,,3/14/00 5:21,8/26/15 1:52,182894
90703,J,N.,Jeppsen,1,100090703,1,1/1/1953,1,0,0,1,0,0,0,1,0,1,1971,1973,0,0,0,0,0,0,0,0,4,1,,3/14/00 5:21,2/10/16 3:37,245092
90739,George,Kevin,Wickstrom,1,100090739,1,1/1/1971,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,1,0,0,0,0,,,,3/14/00 5:21,11/5/15 2:23,239216
91161,Douglas,T,Andersen,1,100091161,1,1/1/1952,1,0,0,1,0,0,0,1,0,1,1970,1973,0,0,1,0,0,0,0,0,1,1,,3/14/00 5:21,12/16/15 3:00,245092
91501,Raz,E,Antonson,1,NULL,99,NULL,0,0,0,1,0,0,0,1,0,1,1974,1977,0,0,0,0,0,0,0,0,2,1,,3/14/00 5:21,12/16/15 1:59,245092
95126,Patricia,F,Benson,1,100095126,1,1/1/1980,1,0,0,1,0,0,0,0,0,1,2000,2003,0,0,0,0,0,0,0,0,2,1,,6/5/03 3:03,1/29/16 10:16,246539
95759,Charles,A,Grace,1,100095759,1,1/1/1961,1,0,0,1,0,0,0,0,0,1,1982,1985,0,0,0,0,0,0,0,0,1,2,,7/24/03 11:57,12/15/15 2:58,249221
98250,Clifford,A,Milligan,1,100098250,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1984,1987,0,0,0,0,0,0,0,0,1,1,,2/18/04 10:02,1/12/16 12:54,246539
99577,M,G,West,1,100099577,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1980,1982,0,0,0,0,0,0,0,0,4,1,,6/9/04 2:11,12/2/15 2:42,246539
101863,Karen,J Nathaniel,Benes,1,100101863,1,1/1/1960,1,0,0,1,0,0,0,1,0,1,1977,1983,0,0,0,0,0,0,0,0,1,1,,12/20/04 9:31,12/2/15 1:45,246539
102242,Andy,Imgrund,Flindt,1,100102242,1,NULL,99,0,0,1,0,0,0,0,1,0,NULL,NULL,0,0,0,0,0,0,0,0,3,1,,1/25/05 8:39,2/6/16 4:31,244492
105511,Melvin,J,Garthwaite,1,100105511,1,1/1/1962,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,1,0,0,0,0,1,1,,10/3/05 11:30,1/19/16 8:55,249427
106089,Michael,Sik Yu,Philipp,1,100106089,1,1/1/1959,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,1,1,,11/8/05 2:03,2/10/16 3:14,246539
106452,Timothy,W,Vaughn,1,100106452,1,1/1/1949,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,1,0,0,0,0,0,4,1,,12/12/05 10:07,10/6/15 7:36,179269
107295,John,R,Gast,1,100107295,1,1/1/1974,1,0,0,1,0,0,0,1,0,1,1997,2000,0,0,0,0,0,0,0,0,3,1,,3/6/06 9:17,10/28/15 2:49,246539
107564,Charles,M,Koepsel,1,100107564,1,NULL,99,0,0,1,0,0,0,1,0,1,1982,1985,0,0,0,0,0,0,0,0,1,1,,3/28/06 11:26,12/7/15 1:31,246539
108499,David,W,Aagaard,1,100108499,1,1/1/1945,1,0,0,1,0,0,0,1,0,1,1963,1964,0,0,0,0,0,0,0,0,3,2,,6/16/06 11:07,10/15/15 10:29,245092
110020,Robert,R,Long,1,100110020,1,1/1/1962,1,0,0,1,0,0,0,1,0,1,1992,1993,0,0,0,0,0,0,0,0,3,6,,9/13/06 9:31,2/29/16 10:26,245094
110604,Keith,L,Campbell,1,100110604,1,1/1/1963,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,3,6,,11/7/06 9:16,10/14/15 9:44,182894
111756,Larry,A,Kajisa,1,100111756,1,1/1/1963,1,0,0,1,0,0,0,0,0,1,1985,1989,0,0,0,0,0,0,0,0,1,1,,3/21/07 3:10,11/2/15 12:28,245881
114272,Zeming,M,Siepmann,1,100114272,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1986,1990,0,0,0,0,0,0,0,0,1,1,,10/17/07 9:07,10/16/15 10:19,245094
114494,,,,99,100114494,1,1/1/1955,1,0,0,1,0,0,0,0,0,1,1982,1993,0,0,0,0,0,0,0,0,1,1,,3/14/00 5:21,9/23/15 10:22,244892
115207,Linda,Rose,Afghani,1,100115207,1,1/1/1964,1,0,0,1,0,0,0,1,0,1,1985,1986,0,0,0,0,0,0,0,0,1,2,,3/14/00 5:21,10/21/15 10:37,245092
117712,Margaret,W,Griffin,1,100117712,1,1/1/1958,1,0,0,0,0,1,0,1,0,1,1975,1976,0,0,0,0,0,0,0,0,3,2,,3/6/08 9:05,2/18/16 10:29,246539
117753,Denise,M,Moore,1,100117753,1,1/1/1976,1,0,0,1,0,0,0,1,0,1,1995,1998,0,0,0,0,0,0,0,0,3,2,,3/11/08 9:05,12/17/15 3:01,243007
119351,Steven,D,Sinder,1,100119351,1,1/1/1954,1,0,0,1,0,0,0,1,0,1,1971,1973,0,0,1,0,0,0,0,0,1,1,,8/20/08 2:48,10/29/15 10:25,248348
122787,John,A,Gluecksmann,1,100122787,1,1/1/1959,1,0,0,1,0,0,0,1,0,1,1980,2006,0,0,0,1,0,0,0,0,1,1,,8/17/09 3:20,1/12/16 2:34,245092
123267,Paul,A,Pomata,1,100123267,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1977,1977,0,0,0,0,0,0,0,0,1,1,,3/14/00 5:22,11/23/15 1:41,246539
123866,Paul,,Ellsworth,1,100123866,1,1/1/1961,1,0,0,1,0,0,0,0,0,1,1980,1983,0,0,0,0,0,0,0,0,1,1,,3/14/00 5:22,11/6/15 1:03,246539
125689,Robert,,Harlow,1,100125689,1,1/1/1963,1,0,0,1,0,0,0,1,0,1,1983,1987,0,0,0,0,0,0,0,0,1,1,,3/14/00 5:22,12/8/15 1:03,245881
127185,Craig,J,Fournier,1,100127185,1,1/1/1953,1,0,0,0,0,1,0,1,0,1,1976,1976,0,0,0,0,0,0,0,0,4,1,,1/6/10 9:20,1/19/16 7:59,248350
130741,Veruska,A.,Zhang,1,100130741,1,1/1/1953,1,0,0,0,0,1,0,1,0,1,1971,1973,0,0,1,0,0,0,0,0,3,1,,8/7/00 3:25,10/8/15 1:12,244583
131634,Berkan,C.,Robinson,1,100131634,1,1/1/1959,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/28/10 8:26,12/11/15 5:34,86270
132995,Byron,Kerem,De Pinho,1,100132995,1,1/1/1980,1,0,0,1,0,0,0,1,0,1,1999,2012,0,0,0,0,1,0,0,0,1,2,,10/21/10 8:52,11/23/15 7:43,182894
134073,James,Donald,Grillo,2,4973,2,1/1/1964,1,0,0,1,0,0,0,1,0,1,1982,1986,0,0,0,0,0,0,0,0,1,1,,11/1/10 11:32,2/22/16 4:51,245092
134315,Karl,E,Herring,1,,99,1/1/1975,1,0,0,0,0,1,0,0,0,1,1997,1997,0,0,0,0,0,0,0,0,1,7,,11/29/10 8:21,10/16/15 9:35,248348
134325,David,G,MacNichol,1,100134325,1,1/1/1961,1,0,0,0,0,1,0,1,0,1,1982,1984,0,0,0,0,0,0,0,0,2,1,,11/29/10 2:47,12/17/15 2:08,246539
136170,Jeffrey,M,Terrano,1,100136170,1,1/1/1985,1,0,0,1,0,0,0,1,0,1,1985,2012,0,0,0,0,1,0,0,0,1,2,,7/7/00 11:41,12/8/15 12:58,246539
136673,Bryon,S,Veschi,1,100136673,1,1/1/1956,1,0,0,1,0,0,0,1,0,1,1976,1985,0,0,0,0,0,0,0,0,1,1,,2/9/01 2:10,8/12/15 8:51,245092
137072,John,A,Giugliano,1,100137072,1,1/1/1967,1,0,0,1,0,0,0,1,0,1,1988,1994,0,0,0,0,0,0,0,0,1,1,,3/27/01 8:10,12/15/15 3:11,182894
143804,Lee,A,Zhang,1,100143804,1,1/1/2000,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,4/1/02 2:56,4/1/02 2:56,11
152213,David,Alfred,Bobys,1,100152213,1,1/1/2004,1,0,0,1,0,0,0,3,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,8/9/04 9:16,8/9/04 9:16,11
160329,Steven,L,Evans,1,100160329,1,1/1/1991,1,0,0,1,0,0,0,1,0,1,2010,2012,0,0,0,0,0,0,0,0,1,2,,11/1/06 7:03,2/6/16 5:16,244492
161215,Philip,E,Imperato,2,100161215,1,1/1/1998,1,0,0,1,0,0,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,3/21/07 3:20,12/11/15 1:08,245881
161216,Matthew,P,Leonard,1,100161216,1,1/1/2000,1,0,0,1,0,0,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,3/21/07 3:21,12/17/15 11:50,245881
172674,John,Andrew,Bouscaren,1,100172674,1,1/1/1954,1,0,0,1,0,0,0,1,0,1,1972,1974,0,0,0,0,0,0,0,0,4,2,,9/13/01 1:55,10/19/15 10:24,246539
172797,Kevin,L,Hwung,1,100172797,1,1/1/1960,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,1,1,,9/27/01 11:01,7/23/15 8:50,182894
174662,Alan,H,Kundrat,1,100174662,1,1/1/1976,1,0,0,1,0,0,0,2,0,1,1994,1996,0,0,0,0,0,0,0,0,3,1,,4/1/02 2:52,2/3/16 3:27,248348
174821,James,J,Mayer,1,100174821,1,1/1/1966,1,0,0,1,0,0,0,1,0,1,1996,1999,0,0,0,1,0,0,0,0,1,1,,4/16/02 11:22,12/21/15 9:20,178107
176504,Sundar,A,Simon,1,100176504,1,1/1/1960,1,0,0,1,0,0,0,1,0,1,1978,1980,0,0,0,0,0,0,0,0,1,6,,8/27/02 10:24,1/19/16 9:03,182894
176962,Lorraine,J,Marsh,1,100176962,1,1/1/1958,1,0,0,1,0,0,0,1,0,1,1977,1980,0,0,0,0,0,0,0,0,4,1,,6/14/11 6:54,10/13/15 12:41,246539
